Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
poincare,relu,mnist,0.9819999933242798,0.10165432840585709,0.999983342217484,9.533772469834292e-05,0,0.01,1e-05,sgd,200,3,26.73539972305298
poincare,relu,mnist,0.9819999933242798,0.10170096904039383,0.999983342217484,9.332263699688445e-05,1,0.01,1e-05,sgd,200,3,53.190340995788574
poincare,relu,mnist,0.9819999933242798,0.1019323393702507,0.999983342217484,9.097768791338655e-05,2,0.01,1e-05,sgd,200,3,79.80007529258728
poincare,relu,mnist,0.9822999835014343,0.10178449004888535,0.999983342217484,8.884975388790443e-05,3,0.01,1e-05,sgd,200,3,106.48476982116699
poincare,relu,mnist,0.9819999933242798,0.10212402790784836,0.999983342217484,8.679362753721748e-05,4,0.01,1e-05,sgd,200,3,132.7800657749176
poincare,relu,mnist,0.9818999767303467,0.10244028270244598,0.999983342217484,8.511442048110844e-05,5,0.01,1e-05,sgd,200,3,159.2564673423767
poincare,relu,mnist,0.9820999503135681,0.1027943342924118,0.999983342217484,8.317939262287585e-05,6,0.01,1e-05,sgd,200,3,186.29674410820007
poincare,relu,mnist,0.9820999503135681,0.10262835770845413,0.999983342217484,8.115423361620233e-05,7,0.01,1e-05,sgd,200,3,213.1817603111267
poincare,relu,mnist,0.9817999601364136,0.10307621955871582,0.999983342217484,7.932383833001771e-05,8,0.01,1e-05,sgd,200,3,239.79411125183105
poincare,relu,mnist,0.9819999933242798,0.10322186350822449,0.999983342217484,7.728699644527055e-05,9,0.01,1e-05,sgd,200,3,266.23332953453064
poincare,relu,mnist,0.9819999933242798,0.10329131036996841,0.999983342217484,7.533101201278614e-05,10,0.01,1e-05,sgd,200,3,293.0563521385193
poincare,relu,mnist,0.9818999767303467,0.10338355600833893,0.999983342217484,7.329344416279891e-05,11,0.01,1e-05,sgd,200,3,319.735965013504
poincare,relu,mnist,0.9817999601364136,0.10382282733917236,0.999983342217484,7.133585940784721e-05,12,0.01,1e-05,sgd,200,3,346.4005606174469
poincare,relu,mnist,0.9818999767303467,0.1039096787571907,0.999983342217484,6.930221444751772e-05,13,0.01,1e-05,sgd,200,3,373.0357983112335
poincare,relu,mnist,0.9818999767303467,0.10410375893115997,0.999983342217484,6.71358251256044e-05,14,0.01,1e-05,sgd,200,3,399.50269532203674
