,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities
0,model_type.euclidean,activation.dmelu,0.35169998,1.8297824,0.30105633,1.9474591,0,0.0001,1e-05,100,3,,
1,model_type.euclidean,activation.dmelu,0.3778,1.7496473,0.3590749,1.7929126,1,0.0001,1e-05,100,3,,
2,model_type.euclidean,activation.dmelu,0.40989998,1.6700807,0.3881242,1.7136633,2,0.0001,1e-05,100,3,,
3,model_type.euclidean,activation.dmelu,0.4247,1.6189551,0.40947104,1.6557969,3,0.0001,1e-05,100,3,,
4,model_type.euclidean,activation.dmelu,0.43129998,1.6034988,0.4265365,1.614948,4,0.0001,1e-05,100,3,,
5,model_type.euclidean,activation.dmelu,0.43339998,1.5818433,0.43615958,1.5842407,5,0.0001,1e-05,100,3,,
6,model_type.euclidean,activation.dmelu,0.4534,1.550671,0.44766325,1.5592666,6,0.0001,1e-05,100,3,,
7,model_type.euclidean,activation.dmelu,0.45889997,1.5285488,0.45482555,1.5363854,7,0.0001,1e-05,100,3,,
8,model_type.euclidean,activation.dmelu,0.4626,1.5220921,0.46068743,1.5207745,8,0.0001,1e-05,100,3,,
9,model_type.euclidean,activation.dmelu,0.4689,1.5095512,0.46887004,1.5010729,9,0.0001,1e-05,100,3,,
10,model_type.euclidean,activation.dmelu,0.46539998,1.5146595,0.4728113,1.4835175,10,0.0001,1e-05,100,3,,
11,model_type.euclidean,activation.dmelu,0.4716,1.5017747,0.4821143,1.4672213,11,0.0001,1e-05,100,3,,
12,model_type.euclidean,activation.dmelu,0.4613,1.5175654,0.4846151,1.4537731,12,0.0001,1e-05,100,3,,
13,model_type.euclidean,activation.dmelu,0.4728,1.4885758,0.48951665,1.4385679,13,0.0001,1e-05,100,3,,
14,model_type.euclidean,activation.dmelu,0.48529997,1.4541568,0.49569863,1.4276396,14,0.0001,1e-05,100,3,,
15,model_type.euclidean,activation.dmelu,0.4879,1.4482565,0.4983995,1.4150844,15,0.0001,1e-05,100,3,,
16,model_type.euclidean,activation.dmelu,0.48499998,1.451573,0.50260085,1.4032993,16,0.0001,1e-05,100,3,,
17,model_type.euclidean,activation.dmelu,0.4842,1.4648856,0.5065021,1.390685,17,0.0001,1e-05,100,3,,
18,model_type.euclidean,activation.dmelu,0.4953,1.426004,0.5085828,1.3829391,18,0.0001,1e-05,100,3,,
19,model_type.euclidean,activation.dmelu,0.49449998,1.4282463,0.51456463,1.3726993,19,0.0001,1e-05,100,3,,
20,model_type.euclidean,activation.dmelu,0.49109998,1.4371458,0.5168454,1.3649328,20,0.0001,1e-05,100,3,,
21,model_type.euclidean,activation.dmelu,0.4935,1.4268886,0.5226072,1.352205,21,0.0001,1e-05,100,3,,
22,model_type.euclidean,activation.dmelu,0.5032,1.4102126,0.52390766,1.3457005,22,0.0001,1e-05,100,3,,
23,model_type.euclidean,activation.dmelu,0.502,1.3988631,0.52574825,1.337774,23,0.0001,1e-05,100,3,,
24,model_type.euclidean,activation.dmelu,0.50189996,1.4103996,0.5321103,1.3249462,24,0.0001,1e-05,100,3,,
25,model_type.euclidean,activation.dmelu,0.5024,1.4049866,0.5350312,1.3177786,25,0.0001,1e-05,100,3,,
26,model_type.euclidean,activation.dmelu,0.5111,1.3892602,0.53737193,1.3096285,26,0.0001,1e-05,100,3,,
27,model_type.euclidean,activation.dmelu,0.5124,1.3809248,0.53917253,1.3018703,27,0.0001,1e-05,100,3,,
28,model_type.euclidean,activation.dmelu,0.51669997,1.3716815,0.54053295,1.2942445,28,0.0001,1e-05,100,3,,
29,model_type.euclidean,activation.dmelu,0.51489997,1.388024,0.54587466,1.2839161,29,0.0001,1e-05,100,3,,
30,model_type.euclidean,activation.dmelu,0.5035,1.4170362,0.5475552,1.2765188,30,0.0001,1e-05,100,3,,
31,model_type.euclidean,activation.dmelu,0.51159996,1.3830636,0.5501761,1.2676725,31,0.0001,1e-05,100,3,,
32,model_type.euclidean,activation.dmelu,0.51309997,1.3759509,0.55389726,1.2611597,32,0.0001,1e-05,100,3,,
33,model_type.euclidean,activation.dmelu,0.5104,1.3827399,0.5532771,1.2551817,33,0.0001,1e-05,100,3,,
34,model_type.euclidean,activation.dmelu,0.5173,1.3649772,0.5581786,1.2466577,34,0.0001,1e-05,100,3,,
35,model_type.euclidean,activation.dmelu,0.52739996,1.345261,0.5620599,1.2367109,35,0.0001,1e-05,100,3,,
36,model_type.euclidean,activation.dmelu,0.5204,1.3600072,0.56450063,1.2315384,36,0.0001,1e-05,100,3,,
37,model_type.euclidean,activation.dmelu,0.52709997,1.3466461,0.56704146,1.2243476,37,0.0001,1e-05,100,3,,
