,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities
0,model_type.euclidean,activation.dmelu,0.33159998,1.8745989,0.28195024,1.9957652,0,0.0001,1e-05,40,3,,
1,model_type.euclidean,activation.dmelu,0.3622,1.7973572,0.34517047,1.8353702,1,0.0001,1e-05,40,3,,
2,model_type.euclidean,activation.dmelu,0.38189998,1.7474934,0.36981833,1.7741356,2,0.0001,1e-05,40,3,,
3,model_type.euclidean,activation.dmelu,0.3965,1.7023813,0.38606355,1.7268468,3,0.0001,1e-05,40,3,,
4,model_type.euclidean,activation.dmelu,0.40789998,1.6679881,0.39800736,1.6896801,4,0.0001,1e-05,40,3,,
5,model_type.euclidean,activation.dmelu,0.408,1.6602291,0.4087508,1.6620874,5,0.0001,1e-05,40,3,,
6,model_type.euclidean,activation.dmelu,0.4145,1.6310408,0.41621318,1.6401178,6,0.0001,1e-05,40,3,,
7,model_type.euclidean,activation.dmelu,0.4267,1.6157937,0.42493597,1.6202728,7,0.0001,1e-05,40,3,,
8,model_type.euclidean,activation.dmelu,0.4299,1.6049191,0.43021768,1.6036998,8,0.0001,1e-05,40,3,,
9,model_type.euclidean,activation.dmelu,0.44009998,1.5777017,0.4358995,1.5866249,9,0.0001,1e-05,40,3,,
10,model_type.euclidean,activation.dmelu,0.43899998,1.5683024,0.44244158,1.57011,10,0.0001,1e-05,40,3,,
11,model_type.euclidean,activation.dmelu,0.4441,1.5585397,0.44770327,1.5567056,11,0.0001,1e-05,40,3,,
12,model_type.euclidean,activation.dmelu,0.44919997,1.547853,0.45300496,1.5424398,12,0.0001,1e-05,40,3,,
13,model_type.euclidean,activation.dmelu,0.45189998,1.5430398,0.45728633,1.5328856,13,0.0001,1e-05,40,3,,
14,model_type.euclidean,activation.dmelu,0.45889997,1.5262197,0.45912692,1.5221268,14,0.0001,1e-05,40,3,,
15,model_type.euclidean,activation.dmelu,0.45619997,1.5291117,0.46290812,1.5131975,15,0.0001,1e-05,40,3,,
16,model_type.euclidean,activation.dmelu,0.4516,1.5219306,0.46568903,1.5043519,16,0.0001,1e-05,40,3,,
17,model_type.euclidean,activation.dmelu,0.46339998,1.5041322,0.46828985,1.494,17,0.0001,1e-05,40,3,,
