,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities
0,model_type.euclidean,activation.dmelu,0.32999998,1.8716506,0.28611156,2.011776,0,0.0001,1e-05,40,3,,
1,model_type.euclidean,activation.dmelu,0.3619,1.7968601,0.35177258,1.8356146,1,0.0001,1e-05,40,3,,
2,model_type.euclidean,activation.dmelu,0.3811,1.7525092,0.37071863,1.7763733,2,0.0001,1e-05,40,3,,
3,model_type.euclidean,activation.dmelu,0.3926,1.702656,0.3853433,1.7334145,3,0.0001,1e-05,40,3,,
4,model_type.euclidean,activation.dmelu,0.3996,1.6828167,0.39762723,1.6989762,4,0.0001,1e-05,40,3,,
5,model_type.euclidean,activation.dmelu,0.4125,1.6615939,0.40799055,1.669493,5,0.0001,1e-05,40,3,,
6,model_type.euclidean,activation.dmelu,0.4208,1.6340348,0.4165133,1.645424,6,0.0001,1e-05,40,3,,
7,model_type.euclidean,activation.dmelu,0.42339998,1.62849,0.42445582,1.6267688,7,0.0001,1e-05,40,3,,
8,model_type.euclidean,activation.dmelu,0.4233,1.6156558,0.42931738,1.6091162,8,0.0001,1e-05,40,3,,
9,model_type.euclidean,activation.dmelu,0.42949998,1.607111,0.43731993,1.5924358,9,0.0001,1e-05,40,3,,
10,model_type.euclidean,activation.dmelu,0.44579998,1.5738353,0.44130123,1.5786167,10,0.0001,1e-05,40,3,,
11,model_type.euclidean,activation.dmelu,0.4418,1.5647072,0.44488236,1.5679758,11,0.0001,1e-05,40,3,,
12,model_type.euclidean,activation.dmelu,0.4423,1.5564992,0.44964388,1.5560179,12,0.0001,1e-05,40,3,,
13,model_type.euclidean,activation.dmelu,0.44919997,1.5445703,0.45296496,1.5428734,13,0.0001,1e-05,40,3,,
14,model_type.euclidean,activation.dmelu,0.4504,1.5573307,0.456226,1.5355564,14,0.0001,1e-05,40,3,,
15,model_type.euclidean,activation.dmelu,0.4547,1.5295048,0.46002722,1.5245179,15,0.0001,1e-05,40,3,,
16,model_type.euclidean,activation.dmelu,0.45369998,1.5369018,0.46206787,1.5159626,16,0.0001,1e-05,40,3,,
17,model_type.euclidean,activation.dmelu,0.4587,1.5256871,0.46452865,1.5072181,17,0.0001,1e-05,40,3,,
18,model_type.euclidean,activation.dmelu,0.45549998,1.5204535,0.4690501,1.4993607,18,0.0001,1e-05,40,3,,
19,model_type.euclidean,activation.dmelu,0.45839998,1.5171686,0.47131082,1.4909399,19,0.0001,1e-05,40,3,,
20,model_type.euclidean,activation.dmelu,0.4605,1.505681,0.47475192,1.4824446,20,0.0001,1e-05,40,3,,
21,model_type.euclidean,activation.dmelu,0.45679998,1.5169489,0.47663254,1.4759923,21,0.0001,1e-05,40,3,,
22,model_type.euclidean,activation.dmelu,0.45319998,1.5417998,0.4778129,1.4697547,22,0.0001,1e-05,40,3,,
23,model_type.euclidean,activation.dmelu,0.47039998,1.4965258,0.48117396,1.4631568,23,0.0001,1e-05,40,3,,
24,model_type.euclidean,activation.dmelu,0.46739998,1.4901927,0.48489517,1.4551506,24,0.0001,1e-05,40,3,,
