,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities
0,model_type.euclidean,activation.dmelu,0.326,1.8874799,0.27650848,2.0154178,0,0.0001,1e-05,40,3,,
1,model_type.euclidean,activation.dmelu,0.362,1.7943434,0.34881163,1.8309828,1,0.0001,1e-05,40,3,,
2,model_type.euclidean,activation.dmelu,0.3854,1.7416025,0.37047854,1.7684687,2,0.0001,1e-05,40,3,,
3,model_type.euclidean,activation.dmelu,0.3999,1.6970576,0.38946462,1.7225447,3,0.0001,1e-05,40,3,,
4,model_type.euclidean,activation.dmelu,0.4064,1.6830008,0.40220872,1.6877648,4,0.0001,1e-05,40,3,,
5,model_type.euclidean,activation.dmelu,0.4152,1.6543303,0.4121519,1.6606992,5,0.0001,1e-05,40,3,,
6,model_type.euclidean,activation.dmelu,0.42069998,1.6279027,0.41985434,1.6378621,6,0.0001,1e-05,40,3,,
7,model_type.euclidean,activation.dmelu,0.4269,1.6098264,0.42889726,1.618293,7,0.0001,1e-05,40,3,,
8,model_type.euclidean,activation.dmelu,0.43429998,1.5922049,0.43335867,1.6016026,8,0.0001,1e-05,40,3,,
9,model_type.euclidean,activation.dmelu,0.4358,1.5923704,0.4397007,1.5833564,9,0.0001,1e-05,40,3,,
10,model_type.euclidean,activation.dmelu,0.4423,1.5729043,0.4425416,1.5706695,10,0.0001,1e-05,40,3,,
11,model_type.euclidean,activation.dmelu,0.4371,1.5673312,0.44918373,1.5544037,11,0.0001,1e-05,40,3,,
12,model_type.euclidean,activation.dmelu,0.4527,1.5466547,0.45534572,1.5414457,12,0.0001,1e-05,40,3,,
13,model_type.euclidean,activation.dmelu,0.45009997,1.5389358,0.4587068,1.5286301,13,0.0001,1e-05,40,3,,
14,model_type.euclidean,activation.dmelu,0.459,1.5327334,0.4621279,1.5182718,14,0.0001,1e-05,40,3,,
15,model_type.euclidean,activation.dmelu,0.4583,1.5280081,0.46670935,1.508432,15,0.0001,1e-05,40,3,,
16,model_type.euclidean,activation.dmelu,0.464,1.5107602,0.46927017,1.4974831,16,0.0001,1e-05,40,3,,
17,model_type.euclidean,activation.dmelu,0.4624,1.516584,0.47233114,1.4890326,17,0.0001,1e-05,40,3,,
18,model_type.euclidean,activation.dmelu,0.4702,1.5021588,0.47699264,1.4774597,18,0.0001,1e-05,40,3,,
19,model_type.euclidean,activation.dmelu,0.4612,1.5134168,0.48023367,1.4698415,19,0.0001,1e-05,40,3,,
20,model_type.euclidean,activation.dmelu,0.4691,1.4937743,0.48227432,1.4584423,20,0.0001,1e-05,40,3,,
21,model_type.euclidean,activation.dmelu,0.47149998,1.4942789,0.48549536,1.4514914,21,0.0001,1e-05,40,3,,
22,model_type.euclidean,activation.dmelu,0.4754,1.485317,0.48853633,1.4440234,22,0.0001,1e-05,40,3,,
23,model_type.euclidean,activation.dmelu,0.475,1.4919733,0.4903169,1.439508,23,0.0001,1e-05,40,3,,
24,model_type.euclidean,activation.dmelu,0.47779998,1.4841198,0.49393806,1.431188,24,0.0001,1e-05,40,3,,
25,model_type.euclidean,activation.dmelu,0.48009998,1.4694619,0.49435818,1.427017,25,0.0001,1e-05,40,3,,
26,model_type.euclidean,activation.dmelu,0.4869,1.4563907,0.49799937,1.4181964,26,0.0001,1e-05,40,3,,
27,model_type.euclidean,activation.dmelu,0.4867,1.4594227,0.4987596,1.4127995,27,0.0001,1e-05,40,3,,
28,model_type.euclidean,activation.dmelu,0.48459998,1.4594567,0.5003201,1.4110454,28,0.0001,1e-05,40,3,,
29,model_type.euclidean,activation.dmelu,0.4912,1.4472953,0.5042214,1.4017541,29,0.0001,1e-05,40,3,,
30,model_type.euclidean,activation.dmelu,0.48499998,1.4535635,0.50628203,1.3987591,30,0.0001,1e-05,40,3,,
31,model_type.euclidean,activation.dmelu,0.49409997,1.4458284,0.5049416,1.3952887,31,0.0001,1e-05,40,3,,
32,model_type.euclidean,activation.dmelu,0.4849,1.4613683,0.5084427,1.3891035,32,0.0001,1e-05,40,3,,
33,model_type.euclidean,activation.dmelu,0.4869,1.4529452,0.5081426,1.3888744,33,0.0001,1e-05,40,3,,
34,model_type.euclidean,activation.dmelu,0.4865,1.4526992,0.51162374,1.3807418,34,0.0001,1e-05,40,3,,
35,model_type.euclidean,activation.dmelu,0.47939998,1.4716789,0.5141245,1.3760282,35,0.0001,1e-05,40,3,,
36,model_type.euclidean,activation.dmelu,0.4876,1.459071,0.5134443,1.3744367,36,0.0001,1e-05,40,3,,
37,model_type.euclidean,activation.dmelu,0.4928,1.444117,0.51486474,1.3670322,37,0.0001,1e-05,40,3,,
38,model_type.euclidean,activation.dmelu,0.49859998,1.4360801,0.5158251,1.3650999,38,0.0001,1e-05,40,3,,
39,model_type.euclidean,activation.dmelu,0.49519998,1.4394531,0.51924616,1.3626022,39,0.0001,1e-05,40,3,,
40,model_type.euclidean,activation.dmelu,0.49539998,1.4318527,0.5197063,1.3593062,40,0.0001,1e-05,40,3,,
41,model_type.euclidean,activation.dmelu,0.4922,1.4348822,0.5199464,1.3558539,41,0.0001,1e-05,40,3,,
42,model_type.euclidean,activation.dmelu,0.49339998,1.4348648,0.5205866,1.3517482,42,0.0001,1e-05,40,3,,
43,model_type.euclidean,activation.dmelu,0.5027,1.4202015,0.521927,1.3503196,43,0.0001,1e-05,40,3,,
44,model_type.euclidean,activation.dmelu,0.4985,1.4250469,0.52548814,1.3446035,44,0.0001,1e-05,40,3,,
45,model_type.euclidean,activation.dmelu,0.49929997,1.4241226,0.5242678,1.3419225,45,0.0001,1e-05,40,3,,
