,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
53,model_type.euclidean,activation.dmelu,,0.003684864,0.9449275,,0.0031973207,53,0.01,0.0001,20,2,,,10
54,model_type.euclidean,activation.dmelu,,0.003604074,0.9242102,,0.003101959,54,0.01,0.0001,20,2,,,10
55,model_type.euclidean,activation.dmelu,,0.003540532,0.9079158,,0.0029895806,55,0.01,0.0001,20,2,,,10
56,model_type.euclidean,activation.dmelu,,0.0035110936,0.9003667,,0.0028878066,56,0.01,0.0001,20,2,,,10
57,model_type.euclidean,activation.dmelu,,0.0035200848,0.9026724,,0.0028178054,57,0.01,0.0001,20,2,,,10
58,model_type.euclidean,activation.dmelu,,0.0035591559,0.9126916,,0.0027876652,58,0.01,0.0001,20,2,,,10
59,model_type.euclidean,activation.dmelu,,0.0036115057,0.92611593,,0.0027916983,59,0.01,0.0001,20,2,,,10
60,model_type.euclidean,activation.dmelu,,0.0036582125,0.9380932,,0.0028146966,60,0.01,0.0001,20,2,,,10
61,model_type.euclidean,activation.dmelu,,0.0036842336,0.9447659,,0.0028385774,61,0.01,0.0001,20,2,,,10
62,model_type.euclidean,activation.dmelu,,0.0036822616,0.9442602,,0.0028487036,62,0.01,0.0001,20,2,,,10
63,model_type.euclidean,activation.dmelu,,0.0036536383,0.93692017,,0.0028378689,63,0.01,0.0001,20,2,,,10
64,model_type.euclidean,activation.dmelu,,0.003606526,0.92483896,,0.0028071732,64,0.01,0.0001,20,2,,,10
65,model_type.euclidean,activation.dmelu,,0.0035522857,0.91092986,,0.002764053,65,0.01,0.0001,20,2,,,10
66,model_type.euclidean,activation.dmelu,,0.0035014888,0.89790374,,0.0027185848,66,0.01,0.0001,20,2,,,10
67,model_type.euclidean,activation.dmelu,,0.0034608939,0.8874938,,0.0026795375,67,0.01,0.0001,20,2,,,10
68,model_type.euclidean,activation.dmelu,,0.0034322655,0.88015246,,0.0026515957,68,0.01,0.0001,20,2,,,10
69,model_type.euclidean,activation.dmelu,,0.003413147,0.87524986,,0.0026345348,69,0.01,0.0001,20,2,,,10
70,model_type.euclidean,activation.dmelu,,0.00339898,0.87161696,,0.0026243683,70,0.01,0.0001,20,2,,,10
71,model_type.euclidean,activation.dmelu,,0.0033855224,0.8681659,,0.0026157405,71,0.01,0.0001,20,2,,,10
72,model_type.euclidean,activation.dmelu,,0.0033705423,0.8643245,,0.0026043868,72,0.01,0.0001,20,2,,,10
73,model_type.euclidean,activation.dmelu,,0.0033542376,0.8601434,,0.0025886726,73,0.01,0.0001,20,2,,,10
74,model_type.euclidean,activation.dmelu,,0.0033384433,0.8560932,,0.002569699,74,0.01,0.0001,20,2,,,10
75,model_type.euclidean,activation.dmelu,,0.0033252556,0.85271144,,0.0025501824,75,0.01,0.0001,20,2,,,10
76,model_type.euclidean,activation.dmelu,,0.0033158064,0.85028833,,0.002532826,76,0.01,0.0001,20,2,,,10
77,model_type.euclidean,activation.dmelu,,0.003309754,0.8487363,,0.0025190047,77,0.01,0.0001,20,2,,,10
78,model_type.euclidean,activation.dmelu,,0.0033055833,0.84766674,,0.0025083036,78,0.01,0.0001,20,2,,,10
79,model_type.euclidean,activation.dmelu,,0.0033014345,0.84660286,,0.002498959,79,0.01,0.0001,20,2,,,10
80,model_type.euclidean,activation.dmelu,,0.0032959892,0.8452065,,0.002488862,80,0.01,0.0001,20,2,,,10
81,model_type.euclidean,activation.dmelu,,0.0032889885,0.84341127,,0.002476544,81,0.01,0.0001,20,2,,,10
82,model_type.euclidean,activation.dmelu,,0.003281193,0.84141225,,0.002461754,82,0.01,0.0001,20,2,,,10
83,model_type.euclidean,activation.dmelu,,0.003273877,0.8395362,,0.002445386,83,0.01,0.0001,20,2,,,10
84,model_type.euclidean,activation.dmelu,,0.003268138,0.8380645,,0.0024289312,84,0.01,0.0001,20,2,,,10
85,model_type.euclidean,activation.dmelu,,0.0032643639,0.83709663,,0.0024137206,85,0.01,0.0001,20,2,,,10
86,model_type.euclidean,activation.dmelu,,0.003262088,0.83651304,,0.002400356,86,0.01,0.0001,20,2,,,10
87,model_type.euclidean,activation.dmelu,,0.0032602523,0.8360423,,0.002388554,87,0.01,0.0001,20,2,,,10
88,model_type.euclidean,activation.dmelu,,0.003257726,0.8353945,,0.00237742,88,0.01,0.0001,20,2,,,10
89,model_type.euclidean,activation.dmelu,,0.0032537826,0.83438325,,0.0023659724,89,0.01,0.0001,20,2,,,10
90,model_type.euclidean,activation.dmelu,,0.0032483323,0.8329856,,0.0023536324,90,0.01,0.0001,20,2,,,10
91,model_type.euclidean,activation.dmelu,,0.0032418123,0.83131367,,0.0023404523,91,0.01,0.0001,20,2,,,10
92,model_type.euclidean,activation.dmelu,,0.003234849,0.82952803,,0.002326985,92,0.01,0.0001,20,2,,,10
93,model_type.euclidean,activation.dmelu,,0.0032278849,0.82774216,,0.00231393,93,0.01,0.0001,20,2,,,10
94,model_type.euclidean,activation.dmelu,,0.003220973,0.82596976,,0.0023017335,94,0.01,0.0001,20,2,,,10
95,model_type.euclidean,activation.dmelu,,0.0032138224,0.8241361,,0.0022903713,95,0.01,0.0001,20,2,,,10
96,model_type.euclidean,activation.dmelu,,0.0032060454,0.82214177,,0.0022793931,96,0.01,0.0001,20,2,,,10
97,model_type.euclidean,activation.dmelu,,0.0031974579,0.8199396,,0.0022681847,97,0.01,0.0001,20,2,,,10
98,model_type.euclidean,activation.dmelu,,0.003188264,0.817582,,0.0022562942,98,0.01,0.0001,20,2,,,10
99,model_type.euclidean,activation.dmelu,,0.0031790347,0.8152153,,0.0022436476,99,0.01,0.0001,20,2,,,10
100,model_type.euclidean,activation.dmelu,,0.0031704998,0.81302667,,0.0022305562,100,0.01,0.0001,20,2,,,10
101,model_type.euclidean,activation.dmelu,,0.0031632604,0.8111702,,0.002217533,101,0.01,0.0001,20,2,,,10
102,model_type.euclidean,activation.dmelu,,0.003157557,0.80970764,,0.0022050259,102,0.01,0.0001,20,2,,,10
103,model_type.euclidean,activation.dmelu,,0.003153214,0.8085939,,0.002193209,103,0.01,0.0001,20,2,,,10
104,model_type.euclidean,activation.dmelu,,0.0031497483,0.8077052,,0.0021819295,104,0.01,0.0001,20,2,,,10
105,model_type.euclidean,activation.dmelu,,0.0031465907,0.8068955,,0.0021708286,105,0.01,0.0001,20,2,,,10
106,model_type.euclidean,activation.dmelu,,0.0031432945,0.80605024,,0.002159541,106,0.01,0.0001,20,2,,,10
