,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Time
0,model_type.alexnet,activation.relu,0.2777549342105263,1.8193454177756059,0.28534827,1.9377754,0,0.01,0.0005,281.40403151512146
1,model_type.alexnet,activation.relu,0.5346422697368421,1.27755363991386,0.4286153,1.5218639,1,0.01,0.0005,537.7698955535889
2,model_type.alexnet,activation.relu,0.6624177631578947,0.8948179201075905,0.65873843,0.9292553,2,0.01,0.0005,798.9291958808899
3,model_type.alexnet,activation.relu,0.7115028782894737,0.7743900857473675,0.72228914,0.7421451,3,0.01,0.0005,1075.0902743339539
4,model_type.alexnet,activation.relu,0.7051809210526315,0.7884258125957689,0.7477696,0.6685531,4,0.01,0.0005,1365.2537829875946
5,model_type.alexnet,activation.relu,0.741930509868421,0.6836846063011571,0.763751,0.6261082,5,0.01,0.0005,1658.2004308700562
6,model_type.alexnet,activation.relu,0.7455797697368421,0.6813516585450423,0.7749767,0.59515727,6,0.01,0.0005,1926.5006651878357
7,model_type.alexnet,activation.relu,0.7459909539473685,0.6662085150417528,0.7828598,0.57331485,7,0.01,0.0005,2186.910118818283
8,model_type.alexnet,activation.relu,0.743421052631579,0.678081004243148,0.7894404,0.5555334,8,0.01,0.0005,2449.0429282188416
9,model_type.alexnet,activation.relu,0.7508223684210527,0.6569013313243264,0.7928996,0.5433072,9,0.01,0.0005,2721.500115633011
10,model_type.alexnet,activation.relu,0.7506681743421053,0.6625764495448062,0.7977291,0.53271246,10,0.01,0.0005,3017.6352758407593
11,model_type.alexnet,activation.relu,0.7715871710526315,0.5988269856101588,0.80111456,0.522259,11,0.01,0.0005,3312.0098092556
12,model_type.alexnet,activation.relu,0.7650082236842105,0.6184760269365812,0.80426663,0.51512116,12,0.01,0.0005,3595.23126411438
13,model_type.alexnet,activation.relu,0.7515419407894737,0.6521509791675367,0.80522513,0.5081918,13,0.01,0.0005,3883.919418334961
14,model_type.alexnet,activation.relu,0.7550370065789473,0.6409954836494044,0.8079655,0.50351673,14,0.01,0.0005,4156.174915552139
15,model_type.alexnet,activation.relu,0.7521587171052632,0.6508200513689142,0.8105584,0.49742898,15,0.01,0.0005,4450.710335969925
16,model_type.alexnet,activation.relu,0.7633634868421053,0.6208620636086715,0.8124508,0.49086872,16,0.01,0.0005,4736.293637752533
17,model_type.alexnet,activation.relu,0.7353001644736842,0.6847578067528574,0.8131144,0.48631564,17,0.01,0.0005,4998.758937358856
18,model_type.alexnet,activation.relu,0.7711245888157895,0.6002743244171143,0.8149516,0.48213118,18,0.01,0.0005,5260.748355388641
19,model_type.alexnet,activation.relu,0.7803248355263158,0.5706002461282831,0.81633407,0.47897685,19,0.01,0.0005,5544.139013528824
20,model_type.alexnet,activation.relu,0.7522615131578947,0.6510765207441229,0.8178456,0.47491342,20,0.01,0.0005,5827.78525352478
21,model_type.alexnet,activation.relu,0.7511307565789473,0.6494408218484176,0.8188409,0.47101438,21,0.01,0.0005,6087.503386497498
22,model_type.alexnet,activation.relu,0.7353515625,0.7332223496939007,0.8206351,0.4668253,22,0.01,0.0005,6349.0377423763275
23,model_type.alexnet,activation.relu,0.7581722861842105,0.6280380110991629,0.8227119,0.46381044,23,0.01,0.0005,6607.638383865356
24,model_type.alexnet,activation.relu,0.7845394736842105,0.5591546924490678,0.8222818,0.46075445,24,0.01,0.0005,6878.147175788879
25,model_type.alexnet,activation.relu,0.7440378289473685,0.6524946971943504,0.8233693,0.45795953,25,0.01,0.0005,7166.054949998856
26,model_type.alexnet,activation.relu,0.7753392269736842,0.5821406966761539,0.82532316,0.4549868,26,0.01,0.0005,7458.377961397171
27,model_type.alexnet,activation.relu,0.7624897203947368,0.6121898387607775,0.82660735,0.45107242,27,0.01,0.0005,7736.6235435009
28,model_type.alexnet,activation.relu,0.772203947368421,0.5966055455960726,0.8279898,0.44823456,28,0.01,0.0005,8004.79115819931
29,model_type.alexnet,activation.relu,0.7576069078947368,0.6215262852217022,0.82717264,0.44651482,29,0.01,0.0005,8284.835931301117
30,model_type.alexnet,activation.relu,0.7637232730263158,0.6027561175195795,0.82924324,0.44387555,30,0.01,0.0005,8576.61177110672
31,model_type.alexnet,activation.relu,0.750719572368421,0.667976765256179,0.8298147,0.44187734,31,0.01,0.0005,8854.421708345413
32,model_type.alexnet,activation.relu,0.771484375,0.5898188352584839,0.83171326,0.4376175,32,0.01,0.0005,9122.878010988235
33,model_type.alexnet,activation.relu,0.7616673519736842,0.6216355530839217,0.8320082,0.4356831,33,0.01,0.0005,9385.662744760513
34,model_type.alexnet,activation.relu,0.7687088815789473,0.5917740589693973,0.83312035,0.43347278,34,0.01,0.0005,9648.987882852554
35,model_type.alexnet,activation.relu,0.7588918585526315,0.6221680264723929,0.8339621,0.43135265,35,0.01,0.0005,9916.052284002304
36,model_type.alexnet,activation.relu,0.7640830592105263,0.6177866803972345,0.8453291,0.3994689,36,0.01,0.0005,10181.513535737991
37,model_type.alexnet,activation.relu,0.7642372532894737,0.6152029853118094,0.84819233,0.39382294,37,0.01,0.0005,10447.595045089722
38,model_type.alexnet,activation.relu,0.7663959703947368,0.6148950206606012,0.8492,0.39136732,38,0.01,0.0005,10712.290162563324
