,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities
0,model_type.euclidean,activation.dmelu,0.29369998,1.913131,0.246879,2.0348516,0,0.0001,1e-05,40,5,,
1,model_type.euclidean,activation.dmelu,0.3302,1.8347106,0.31620118,1.874472,1,0.0001,1e-05,40,5,,
2,model_type.euclidean,activation.dmelu,0.3523,1.7854625,0.34300977,1.8140608,2,0.0001,1e-05,40,5,,
3,model_type.euclidean,activation.dmelu,0.3646,1.7551465,0.35955507,1.7741786,3,0.0001,1e-05,40,5,,
4,model_type.euclidean,activation.dmelu,0.3843,1.7182512,0.3696583,1.7431722,4,0.0001,1e-05,40,5,,
5,model_type.euclidean,activation.dmelu,0.3858,1.6952933,0.38114196,1.71537,5,0.0001,1e-05,40,5,,
6,model_type.euclidean,activation.dmelu,0.3964,1.6786414,0.38900447,1.6922086,6,0.0001,1e-05,40,5,,
7,model_type.euclidean,activation.dmelu,0.40699998,1.6557955,0.39662692,1.6706598,7,0.0001,1e-05,40,5,,
8,model_type.euclidean,activation.dmelu,0.4107,1.6349236,0.40528968,1.6501625,8,0.0001,1e-05,40,5,,
9,model_type.euclidean,activation.dmelu,0.41799998,1.6151175,0.41131163,1.6305113,9,0.0001,1e-05,40,5,,
10,model_type.euclidean,activation.dmelu,0.42499998,1.6029963,0.41859394,1.6099372,10,0.0001,1e-05,40,5,,
11,model_type.euclidean,activation.dmelu,0.4294,1.5852895,0.4258763,1.5972811,11,0.0001,1e-05,40,5,,
12,model_type.euclidean,activation.dmelu,0.4263,1.5965478,0.4305578,1.581859,12,0.0001,1e-05,40,5,,
13,model_type.euclidean,activation.dmelu,0.43919998,1.5682849,0.43649969,1.5688924,13,0.0001,1e-05,40,5,,
14,model_type.euclidean,activation.dmelu,0.4366,1.5611615,0.4409411,1.5577381,14,0.0001,1e-05,40,5,,
15,model_type.euclidean,activation.dmelu,0.4326,1.5735856,0.4440821,1.548595,15,0.0001,1e-05,40,5,,
16,model_type.euclidean,activation.dmelu,0.447,1.5441335,0.44726312,1.5377648,16,0.0001,1e-05,40,5,,
17,model_type.euclidean,activation.dmelu,0.4475,1.547524,0.45088428,1.5279386,17,0.0001,1e-05,40,5,,
18,model_type.euclidean,activation.dmelu,0.4434,1.5541732,0.45454547,1.5183487,18,0.0001,1e-05,40,5,,
19,model_type.euclidean,activation.dmelu,0.44939998,1.5419486,0.45898688,1.5101943,19,0.0001,1e-05,40,5,,
20,model_type.euclidean,activation.dmelu,0.457,1.5236076,0.4612076,1.501926,20,0.0001,1e-05,40,5,,
21,model_type.euclidean,activation.dmelu,0.4569,1.5160828,0.46272808,1.493873,21,0.0001,1e-05,40,5,,
22,model_type.euclidean,activation.dmelu,0.4614,1.5089167,0.46526888,1.4869642,22,0.0001,1e-05,40,5,,
23,model_type.euclidean,activation.dmelu,0.46159998,1.5024551,0.4694102,1.4795756,23,0.0001,1e-05,40,5,,
