Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
h_plusplus,relu,mnist,0.9325000047683716,0.2100989818572998,0.9739305703624733,0.08339684190618783,0,0.01,1e-05,sgd,40,2,13.678639888763428
h_plusplus,relu,mnist,0.9616999626159668,0.12170495837926865,0.976512526652452,0.07339158603017515,1,0.01,1e-05,sgd,40,2,27.449711799621582
h_plusplus,relu,mnist,0.9648999571800232,0.10865643620491028,0.9770622334754797,0.0724713153343326,2,0.01,1e-05,sgd,40,2,41.11145496368408
h_plusplus,relu,mnist,0.9490999579429626,0.1855516880750656,0.9777785181236673,0.0701032886189768,3,0.01,1e-05,sgd,40,2,54.89669609069824
h_plusplus,relu,mnist,0.963699996471405,0.1263035535812378,0.9760127931769723,0.07638422231304584,4,0.01,1e-05,sgd,40,2,69.13471245765686
h_plusplus,relu,mnist,0.9607999920845032,0.12329602986574173,0.9770622334754797,0.07342107617643787,5,0.01,1e-05,sgd,40,2,83.06964707374573
h_plusplus,relu,mnist,0.9465999603271484,0.16677801311016083,0.9767457356076759,0.0764814869238576,6,0.01,1e-05,sgd,40,2,96.77468729019165
h_plusplus,relu,mnist,0.9613999724388123,0.1250474750995636,0.978411513859275,0.06943818415427751,7,0.01,1e-05,sgd,40,2,110.51353144645691
h_plusplus,relu,mnist,0.9668999910354614,0.11082305014133453,0.9752631929637526,0.0793589190912566,8,0.01,1e-05,sgd,40,2,124.20223951339722
h_plusplus,relu,mnist,0.8901000022888184,0.36602744460105896,0.9772787846481876,0.0721534560786993,9,0.01,1e-05,sgd,40,2,138.05338287353516
h_plusplus,relu,mnist,0.8819999694824219,0.37821251153945923,0.9771288646055437,0.07313094636090775,10,0.01,1e-05,sgd,40,2,151.5420823097229
h_plusplus,relu,mnist,0.9746999740600586,0.08196237683296204,0.9761793710021321,0.07763102496212133,11,0.01,1e-05,sgd,40,2,165.08837389945984
h_plusplus,relu,mnist,0.9734999537467957,0.08467888832092285,0.9785447761194029,0.06983777689067389,12,0.01,1e-05,sgd,40,2,178.97979640960693
h_plusplus,relu,mnist,0.9606999754905701,0.13086757063865662,0.9757462686567164,0.0778259723382726,13,0.01,1e-05,sgd,40,2,192.829895734787
h_plusplus,relu,mnist,0.973099946975708,0.09024851024150848,0.9724646855010661,0.09161479509351696,14,0.01,1e-05,sgd,40,2,206.5653314590454
h_plusplus,relu,mnist,0.9007999897003174,0.3427876830101013,0.9769956023454158,0.07174582877615863,15,0.01,1e-05,sgd,40,2,219.83323621749878
h_plusplus,relu,mnist,0.9677000045776367,0.11718734353780746,0.9780117270788913,0.06789209775980125,16,0.01,1e-05,sgd,40,2,233.35021924972534
h_plusplus,relu,mnist,0.9751999974250793,0.08403237164020538,0.9767124200426439,0.07526640819972936,17,0.01,1e-05,sgd,40,2,247.18771743774414
h_plusplus,relu,mnist,0.9723999500274658,0.08462166041135788,0.9780617004264393,0.07036030445464336,18,0.01,1e-05,sgd,40,2,260.79140305519104
h_plusplus,relu,mnist,0.9732999801635742,0.09110482037067413,0.9781283315565032,0.06962369649888459,19,0.01,1e-05,sgd,40,2,275.021137714386
h_plusplus,relu,mnist,0.9649999737739563,0.12760144472122192,0.974713486140725,0.08136545028748499,20,0.01,1e-05,sgd,40,2,288.7635850906372
h_plusplus,relu,mnist,0.971299946308136,0.10296699404716492,0.9729144456289979,0.08784047921480083,21,0.01,1e-05,sgd,40,2,302.5708558559418
h_plusplus,relu,mnist,0.9728999733924866,0.08897646516561508,0.9751799040511727,0.07739484797456245,22,0.01,1e-05,sgd,40,2,316.4114360809326
h_plusplus,relu,mnist,0.9615999460220337,0.11764329671859741,0.9760627665245203,0.07595150672861917,23,0.01,1e-05,sgd,40,2,330.1485757827759
h_plusplus,relu,mnist,0.9659000039100647,0.11258649826049805,0.9779617537313433,0.0714673970753738,24,0.01,1e-05,sgd,40,2,343.93804931640625
h_plusplus,relu,mnist,0.921999990940094,0.25228485465049744,0.9761627132196162,0.07520552421429766,25,0.01,1e-05,sgd,40,2,357.72761940956116
