Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
hyp,relu,fmnist,0.8788999915122986,0.47894608974456787,0.9644689498933902,0.09883975140504174,0,0.01,1e-05,sgd,100,4,25.71454381942749
hyp,relu,fmnist,0.8829999566078186,0.4496588408946991,0.9638192963752665,0.10221402438432932,1,0.01,1e-05,sgd,100,4,51.197532176971436
hyp,relu,fmnist,0.8733999729156494,0.5183283090591431,0.9659514925373134,0.09412459635100305,2,0.01,1e-05,sgd,100,4,76.76650142669678
hyp,relu,fmnist,0.8787999749183655,0.48416292667388916,0.9664179104477612,0.09420680270087459,3,0.01,1e-05,sgd,100,4,102.25925254821777
hyp,relu,fmnist,0.8768999576568604,0.49429595470428467,0.9674173773987207,0.09286113950346452,4,0.01,1e-05,sgd,100,4,127.79668855667114
hyp,relu,fmnist,0.8798999786376953,0.5165228247642517,0.9673340884861408,0.09144346052155232,5,0.01,1e-05,sgd,100,4,153.1855263710022
hyp,relu,fmnist,0.8690999746322632,0.5367438197135925,0.9673507462686567,0.0911547087891492,6,0.01,1e-05,sgd,100,4,178.86066150665283
hyp,relu,fmnist,0.8689999580383301,0.5729499459266663,0.9689998667377399,0.0867019605540883,7,0.01,1e-05,sgd,100,4,204.6322112083435
hyp,relu,fmnist,0.8851999640464783,0.4749598205089569,0.9686167377398721,0.08656773927893593,8,0.01,1e-05,sgd,100,4,230.2265181541443
hyp,relu,fmnist,0.8791999816894531,0.5155527591705322,0.9697827825159915,0.08500452011849469,9,0.01,1e-05,sgd,100,4,256.07580637931824
hyp,relu,fmnist,0.882099986076355,0.4998970329761505,0.9710321162046909,0.08174200510275541,10,0.01,1e-05,sgd,100,4,281.4867091178894
hyp,relu,fmnist,0.8801999688148499,0.5210056900978088,0.968816631130064,0.08683496844003609,11,0.01,1e-05,sgd,100,4,306.9690110683441
hyp,relu,fmnist,0.8798999786376953,0.5025080442428589,0.9697494669509595,0.08267598940399108,12,0.01,1e-05,sgd,100,4,332.6912009716034
hyp,relu,fmnist,0.8644999861717224,0.5827683806419373,0.9714985341151386,0.08076807043737551,13,0.01,1e-05,sgd,100,4,358.0655074119568
hyp,relu,fmnist,0.8388999700546265,0.7948907017707825,0.9710654317697228,0.07991512130642099,14,0.01,1e-05,sgd,100,4,383.7369086742401
hyp,relu,fmnist,0.8664000034332275,0.5533372759819031,0.9723314232409381,0.07611356651398546,15,0.01,1e-05,sgd,100,4,409.28888750076294
