,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Time
0,model_type.halexnet,activation.relu,0.013237847222222222,4.604672061072455,0.009322983,4.605217,0,0.01,0.0005,122.08552598953247
1,model_type.halexnet,activation.relu,0.009874131944444444,4.538165516323513,0.010043214,4.57306,1,0.01,0.0005,242.22207736968994
2,model_type.halexnet,activation.relu,0.025282118055555556,4.463332653045654,0.01934619,4.4698277,2,0.01,0.0005,361.93041229248047
3,model_type.halexnet,activation.relu,0.019314236111111112,4.41482326719496,0.025588188,4.3735495,3,0.01,0.0005,481.1812651157379
4,model_type.halexnet,activation.relu,0.03244357638888889,4.29491392771403,0.029429417,4.3059278,4,0.01,0.0005,601.0588753223419
5,model_type.halexnet,activation.relu,0.044379340277777776,4.2135886616177025,0.033830825,4.2573295,5,0.01,0.0005,721.1049087047577
6,model_type.halexnet,activation.relu,0.0627170138888889,4.1352673636542425,0.04755522,4.1882777,6,0.01,0.0005,840.3910031318665
7,model_type.halexnet,activation.relu,0.07183159722222222,4.035512182447645,0.06878201,4.0821767,7,0.01,0.0005,959.10671210289
8,model_type.halexnet,activation.relu,0.08951822916666667,3.9796083768208823,0.083226636,3.9772558,8,0.01,0.0005,1078.1673622131348
9,model_type.halexnet,activation.relu,0.125,3.774969975153605,0.10431338,3.861979,9,0.01,0.0005,1197.8829216957092
10,model_type.halexnet,activation.relu,0.1342230902777778,3.6819436815049915,0.12802097,3.699044,10,0.01,0.0005,1315.4790210723877
11,model_type.halexnet,activation.relu,0.1599392361111111,3.5959314505259194,0.15370919,3.5537581,11,0.01,0.0005,1433.6507196426392
12,model_type.halexnet,activation.relu,0.18619791666666666,3.422681066724989,0.17693663,3.4179304,12,0.01,0.0005,1551.9746356010437
13,model_type.halexnet,activation.relu,0.21397569444444445,3.243235190709432,0.1990637,3.2983863,13,0.01,0.0005,1669.8059413433075
14,model_type.halexnet,activation.relu,0.23470052083333334,3.147821214463976,0.22225112,3.1800857,14,0.01,0.0005,1787.4733963012695
15,model_type.halexnet,activation.relu,0.2509765625,3.065468496746487,0.24011683,3.0778906,15,0.01,0.0005,1905.3221862316132
16,model_type.halexnet,activation.relu,0.2797309027777778,2.9049430423312717,0.26022327,2.9766579,16,0.01,0.0005,2023.8598456382751
17,model_type.halexnet,activation.relu,0.2839626736111111,2.897829188240899,0.2790893,2.8767805,17,0.01,0.0005,2141.868765592575
18,model_type.halexnet,activation.relu,0.3108723958333333,2.7484266228146024,0.29605475,2.784753,18,0.01,0.0005,2260.273410320282
19,model_type.halexnet,activation.relu,0.3185763888888889,2.7029250727759466,0.31380042,2.6998084,19,0.01,0.0005,2379.0691525936127
20,model_type.halexnet,activation.relu,0.3276909722222222,2.6544080045488148,0.3306058,2.620141,20,0.01,0.0005,2498.0954270362854
21,model_type.halexnet,activation.relu,0.3547092013888889,2.515583727094862,0.3481914,2.5395927,21,0.01,0.0005,2616.4445469379425
22,model_type.halexnet,activation.relu,0.3734809027777778,2.457115199830797,0.36233595,2.475022,22,0.01,0.0005,2733.300213098526
23,model_type.halexnet,activation.relu,0.3899739583333333,2.350638575024075,0.37642047,2.402747,23,0.01,0.0005,2852.591871023178
24,model_type.halexnet,activation.relu,0.3848741319444444,2.4081976148817272,0.3913052,2.32534,24,0.01,0.0005,2971.0475583076477
25,model_type.halexnet,activation.relu,0.4155815972222222,2.267941024568346,0.4078105,2.2639716,25,0.01,0.0005,3089.5528790950775
26,model_type.halexnet,activation.relu,0.4032118055555556,2.326608498891195,0.4200144,2.2041612,26,0.01,0.0005,3207.897504091263
