,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities
0,model_type.euclidean,activation.dmelu,0.3455,1.8612804,0.2903329,1.992502,0,0.0001,1e-05,40,2,,
1,model_type.euclidean,activation.dmelu,0.3656,1.7942399,0.35543373,1.8257413,1,0.0001,1e-05,40,2,,
2,model_type.euclidean,activation.dmelu,0.3812,1.7528964,0.3731594,1.7795454,2,0.0001,1e-05,40,2,,
3,model_type.euclidean,activation.dmelu,0.385,1.7348268,0.38674375,1.7457061,3,0.0001,1e-05,40,2,,
4,model_type.euclidean,activation.dmelu,0.4008,1.7070965,0.39704704,1.7184296,4,0.0001,1e-05,40,2,,
5,model_type.euclidean,activation.dmelu,0.4084,1.6814348,0.4068902,1.6935451,5,0.0001,1e-05,40,2,,
6,model_type.euclidean,activation.dmelu,0.40989998,1.6760168,0.41351232,1.6733314,6,0.0001,1e-05,40,2,,
7,model_type.euclidean,activation.dmelu,0.4195,1.6457793,0.42139485,1.6505334,7,0.0001,1e-05,40,2,,
8,model_type.euclidean,activation.dmelu,0.42769998,1.6267173,0.42943743,1.6320317,8,0.0001,1e-05,40,2,,
9,model_type.euclidean,activation.dmelu,0.4301,1.6184745,0.43583947,1.614911,9,0.0001,1e-05,40,2,,
10,model_type.euclidean,activation.dmelu,0.4333,1.6042056,0.4387404,1.6003839,10,0.0001,1e-05,40,2,,
11,model_type.euclidean,activation.dmelu,0.43899998,1.59275,0.44314182,1.5846535,11,0.0001,1e-05,40,2,,
12,model_type.euclidean,activation.dmelu,0.4339,1.5865841,0.44706306,1.5750064,12,0.0001,1e-05,40,2,,
13,model_type.euclidean,activation.dmelu,0.4421,1.5706733,0.45334506,1.5608929,13,0.0001,1e-05,40,2,,
14,model_type.euclidean,activation.dmelu,0.44509998,1.5733526,0.45576584,1.5480102,14,0.0001,1e-05,40,2,,
15,model_type.euclidean,activation.dmelu,0.44529998,1.5522922,0.45922697,1.5388254,15,0.0001,1e-05,40,2,,
16,model_type.euclidean,activation.dmelu,0.44959998,1.5488554,0.46326825,1.5276937,16,0.0001,1e-05,40,2,,
17,model_type.euclidean,activation.dmelu,0.4552,1.5396386,0.46708947,1.5168682,17,0.0001,1e-05,40,2,,
18,model_type.euclidean,activation.dmelu,0.4599,1.5234628,0.46881002,1.5078405,18,0.0001,1e-05,40,2,,
19,model_type.euclidean,activation.dmelu,0.46519998,1.5192928,0.47243118,1.4965599,19,0.0001,1e-05,40,2,,
20,model_type.euclidean,activation.dmelu,0.4572,1.5345895,0.47521207,1.4884831,20,0.0001,1e-05,40,2,,
21,model_type.euclidean,activation.dmelu,0.45799997,1.5116699,0.47701263,1.4818336,21,0.0001,1e-05,40,2,,
22,model_type.euclidean,activation.dmelu,0.46899998,1.5032805,0.48113397,1.4728427,22,0.0001,1e-05,40,2,,
23,model_type.euclidean,activation.dmelu,0.45139998,1.5399194,0.484355,1.4651352,23,0.0001,1e-05,40,2,,
24,model_type.euclidean,activation.dmelu,0.46739998,1.4949226,0.4862156,1.457654,24,0.0001,1e-05,40,2,,
25,model_type.euclidean,activation.dmelu,0.4764,1.4858234,0.48891646,1.448121,25,0.0001,1e-05,40,2,,
26,model_type.euclidean,activation.dmelu,0.46829998,1.4849911,0.48861635,1.442842,26,0.0001,1e-05,40,2,,
27,model_type.euclidean,activation.dmelu,0.4791,1.4715579,0.49505842,1.4361682,27,0.0001,1e-05,40,2,,
28,model_type.euclidean,activation.dmelu,0.47399998,1.4875536,0.49453825,1.4298699,28,0.0001,1e-05,40,2,,
29,model_type.euclidean,activation.dmelu,0.4813,1.4721334,0.49765924,1.4263473,29,0.0001,1e-05,40,2,,
30,model_type.euclidean,activation.dmelu,0.48459998,1.4684763,0.5002401,1.4176968,30,0.0001,1e-05,40,2,,
31,model_type.euclidean,activation.dmelu,0.4831,1.4648205,0.49949983,1.4144717,31,0.0001,1e-05,40,2,,
32,model_type.euclidean,activation.dmelu,0.4809,1.4604008,0.503121,1.4070487,32,0.0001,1e-05,40,2,,
33,model_type.euclidean,activation.dmelu,0.491,1.454766,0.5041813,1.4021128,33,0.0001,1e-05,40,2,,
34,model_type.euclidean,activation.dmelu,0.48439997,1.4591281,0.5046415,1.3986915,34,0.0001,1e-05,40,2,,
35,model_type.euclidean,activation.dmelu,0.49019998,1.4473027,0.5091629,1.3931373,35,0.0001,1e-05,40,2,,
36,model_type.euclidean,activation.dmelu,0.4795,1.4600506,0.5089829,1.3884394,36,0.0001,1e-05,40,2,,
37,model_type.euclidean,activation.dmelu,0.4799,1.4638159,0.5112436,1.3842458,37,0.0001,1e-05,40,2,,
38,model_type.euclidean,activation.dmelu,0.48279998,1.4552788,0.5127641,1.3781604,38,0.0001,1e-05,40,2,,
39,model_type.euclidean,activation.dmelu,0.4876,1.4523624,0.5139845,1.3771938,39,0.0001,1e-05,40,2,,
40,model_type.euclidean,activation.dmelu,0.4838,1.4672135,0.515605,1.370623,40,0.0001,1e-05,40,2,,
41,model_type.euclidean,activation.dmelu,0.4939,1.452156,0.5162452,1.3699156,41,0.0001,1e-05,40,2,,
42,model_type.euclidean,activation.dmelu,0.49019998,1.4411207,0.5173656,1.3649786,42,0.0001,1e-05,40,2,,
