,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities
0,model_type.euclidean,activation.dmelu,0.3435,1.8680439,0.29455426,1.9928488,0,0.0001,1e-05,40,2,,
1,model_type.euclidean,activation.dmelu,0.3647,1.806561,0.3549536,1.8333206,1,0.0001,1e-05,40,2,,
2,model_type.euclidean,activation.dmelu,0.378,1.7540966,0.37738076,1.7720661,2,0.0001,1e-05,40,2,,
3,model_type.euclidean,activation.dmelu,0.4042,1.701807,0.393746,1.7282362,3,0.0001,1e-05,40,2,,
4,model_type.euclidean,activation.dmelu,0.4085,1.6837611,0.40582988,1.6932696,4,0.0001,1e-05,40,2,,
5,model_type.euclidean,activation.dmelu,0.41849998,1.6552033,0.4166133,1.664738,5,0.0001,1e-05,40,2,,
6,model_type.euclidean,activation.dmelu,0.42,1.6498535,0.42501602,1.6423112,6,0.0001,1e-05,40,2,,
7,model_type.euclidean,activation.dmelu,0.42499998,1.6239955,0.4296375,1.6223778,7,0.0001,1e-05,40,2,,
8,model_type.euclidean,activation.dmelu,0.43539998,1.6074591,0.4381802,1.6056174,8,0.0001,1e-05,40,2,,
9,model_type.euclidean,activation.dmelu,0.43829998,1.5920743,0.44050097,1.5913593,9,0.0001,1e-05,40,2,,
10,model_type.euclidean,activation.dmelu,0.4409,1.5826865,0.4478833,1.5771191,10,0.0001,1e-05,40,2,,
11,model_type.euclidean,activation.dmelu,0.44779998,1.567974,0.45214468,1.5630095,11,0.0001,1e-05,40,2,,
12,model_type.euclidean,activation.dmelu,0.45389998,1.556181,0.45724633,1.5507324,12,0.0001,1e-05,40,2,,
13,model_type.euclidean,activation.dmelu,0.4534,1.5573574,0.4600672,1.5407605,13,0.0001,1e-05,40,2,,
14,model_type.euclidean,activation.dmelu,0.4504,1.5493916,0.4622479,1.5316331,14,0.0001,1e-05,40,2,,
15,model_type.euclidean,activation.dmelu,0.4588,1.5363233,0.46698943,1.5210096,15,0.0001,1e-05,40,2,,
16,model_type.euclidean,activation.dmelu,0.4456,1.5465469,0.46931016,1.5111557,16,0.0001,1e-05,40,2,,
17,model_type.euclidean,activation.dmelu,0.45929998,1.5273688,0.47213107,1.5030478,17,0.0001,1e-05,40,2,,
18,model_type.euclidean,activation.dmelu,0.46249998,1.5185101,0.47507203,1.4954764,18,0.0001,1e-05,40,2,,
19,model_type.euclidean,activation.dmelu,0.4574,1.5296668,0.47895327,1.4873167,19,0.0001,1e-05,40,2,,
20,model_type.euclidean,activation.dmelu,0.46769997,1.505218,0.48057377,1.4816077,20,0.0001,1e-05,40,2,,
21,model_type.euclidean,activation.dmelu,0.46679997,1.5087202,0.48297456,1.4738935,21,0.0001,1e-05,40,2,,
22,model_type.euclidean,activation.dmelu,0.47149998,1.4952809,0.48537531,1.4672424,22,0.0001,1e-05,40,2,,
23,model_type.euclidean,activation.dmelu,0.4648,1.5056843,0.4868558,1.4594078,23,0.0001,1e-05,40,2,,
24,model_type.euclidean,activation.dmelu,0.4678,1.5018845,0.4868958,1.4563054,24,0.0001,1e-05,40,2,,
25,model_type.euclidean,activation.dmelu,0.47039998,1.4918872,0.4930578,1.4482478,25,0.0001,1e-05,40,2,,
