Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
lorentz,relu,cifar10,0.46219998598098755,1.5637304782867432,0.5367047634271099,1.3331272952696855,0,0.01,1e-05,sgd,20,1,10.131681203842163
lorentz,relu,cifar10,0.4333999752998352,1.652319312095642,0.5380234974424553,1.3313396333733483,1,0.01,1e-05,sgd,20,1,19.93939995765686
lorentz,relu,cifar10,0.4558999836444855,1.5643389225006104,0.5390824808184144,1.329173224813798,2,0.01,1e-05,sgd,20,1,30.191686630249023
lorentz,relu,cifar10,0.4514999985694885,1.5778981447219849,0.537823689258312,1.3282361513818317,3,0.01,1e-05,sgd,20,1,40.17553448677063
lorentz,relu,cifar10,0.4504999816417694,1.5820778608322144,0.5379235933503836,1.3231657439333093,4,0.01,1e-05,sgd,20,1,50.43274760246277
lorentz,relu,cifar10,0.45239999890327454,1.5910776853561401,0.5414601982097187,1.3221262040193125,5,0.01,1e-05,sgd,20,1,60.6688277721405
lorentz,relu,cifar10,0.44919997453689575,1.598221778869629,0.541979699488491,1.317938632367517,6,0.01,1e-05,sgd,20,1,70.54225707054138
lorentz,relu,cifar10,0.45389997959136963,1.5885580778121948,0.5440776854219949,1.3155529169018005,7,0.01,1e-05,sgd,20,1,80.4656720161438
lorentz,relu,cifar10,0.45409998297691345,1.5854295492172241,0.5436181265984654,1.313868053810066,8,0.01,1e-05,sgd,20,1,90.73777508735657
lorentz,relu,cifar10,0.4487999975681305,1.5974411964416504,0.5415001598465473,1.3143535546024743,9,0.01,1e-05,sgd,20,1,101.2908947467804
lorentz,relu,cifar10,0.4470999836921692,1.604996919631958,0.5455562659846548,1.3101051093062477,10,0.01,1e-05,sgd,20,1,111.42696070671082
lorentz,relu,cifar10,0.4514999985694885,1.5977061986923218,0.5454164002557544,1.3076086427702014,11,0.01,1e-05,sgd,20,1,121.35630941390991
lorentz,relu,cifar10,0.45479997992515564,1.6046969890594482,0.5465752877237852,1.3055398093007715,12,0.01,1e-05,sgd,20,1,131.3403718471527
lorentz,relu,cifar10,0.45419999957084656,1.59102201461792,0.5464554028132992,1.3035165361126366,13,0.01,1e-05,sgd,20,1,141.08258819580078
lorentz,relu,cifar10,0.4562999904155731,1.5896413326263428,0.5470748081841432,1.301877434067714,14,0.01,1e-05,sgd,20,1,150.9377179145813
