,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities
0,model_type.euclidean,activation.dmelu,0.3209,1.8502797,0.29373398,1.9528958,0,0.0001,1e-05,100,4,,
1,model_type.euclidean,activation.dmelu,0.383,1.7255177,0.35963508,1.7835286,1,0.0001,1e-05,100,4,,
2,model_type.euclidean,activation.dmelu,0.3938,1.6876147,0.38704386,1.704474,2,0.0001,1e-05,100,4,,
3,model_type.euclidean,activation.dmelu,0.41689998,1.6325125,0.4069302,1.6566626,3,0.0001,1e-05,100,4,,
4,model_type.euclidean,activation.dmelu,0.43539998,1.589908,0.42113477,1.6196948,4,0.0001,1e-05,100,4,,
5,model_type.euclidean,activation.dmelu,0.4289,1.5942364,0.4325184,1.5894042,5,0.0001,1e-05,100,4,,
6,model_type.euclidean,activation.dmelu,0.44599998,1.5544754,0.4424216,1.5640677,6,0.0001,1e-05,100,4,,
7,model_type.euclidean,activation.dmelu,0.4543,1.5395248,0.45388526,1.5390447,7,0.0001,1e-05,100,4,,
8,model_type.euclidean,activation.dmelu,0.46019998,1.5300078,0.46036732,1.5183684,8,0.0001,1e-05,100,4,,
9,model_type.euclidean,activation.dmelu,0.4685,1.5023465,0.46516886,1.4981278,9,0.0001,1e-05,100,4,,
10,model_type.euclidean,activation.dmelu,0.4628,1.5003074,0.47457185,1.4767568,10,0.0001,1e-05,100,4,,
11,model_type.euclidean,activation.dmelu,0.47599998,1.473603,0.47795296,1.4603924,11,0.0001,1e-05,100,4,,
12,model_type.euclidean,activation.dmelu,0.4806,1.4653629,0.4837348,1.4433231,12,0.0001,1e-05,100,4,,
13,model_type.euclidean,activation.dmelu,0.48139998,1.4666535,0.4896367,1.42758,13,0.0001,1e-05,100,4,,
14,model_type.euclidean,activation.dmelu,0.4933,1.4400104,0.49449825,1.413511,14,0.0001,1e-05,100,4,,
15,model_type.euclidean,activation.dmelu,0.4926,1.4395803,0.50138044,1.4005764,15,0.0001,1e-05,100,4,,
16,model_type.euclidean,activation.dmelu,0.4908,1.4309268,0.5052417,1.3869476,16,0.0001,1e-05,100,4,,
17,model_type.euclidean,activation.dmelu,0.4888,1.4368666,0.51026326,1.3774675,17,0.0001,1e-05,100,4,,
18,model_type.euclidean,activation.dmelu,0.49809998,1.4141033,0.51332426,1.3656645,18,0.0001,1e-05,100,4,,
19,model_type.euclidean,activation.dmelu,0.502,1.4111384,0.51448464,1.357555,19,0.0001,1e-05,100,4,,
20,model_type.euclidean,activation.dmelu,0.5038,1.4033024,0.5212068,1.3437843,20,0.0001,1e-05,100,4,,
21,model_type.euclidean,activation.dmelu,0.49769998,1.4153061,0.5247079,1.3357074,21,0.0001,1e-05,100,4,,
22,model_type.euclidean,activation.dmelu,0.5022,1.4062887,0.52670854,1.3262542,22,0.0001,1e-05,100,4,,
23,model_type.euclidean,activation.dmelu,0.5013,1.3922427,0.5291093,1.3165302,23,0.0001,1e-05,100,4,,
24,model_type.euclidean,activation.dmelu,0.5065,1.3834231,0.5327705,1.3112159,24,0.0001,1e-05,100,4,,
